"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
NA,0,1,2,3,4,5,6,7,8,9
0,0.12087450872286,0.211971425422381,0.244518126595253,0.255689887158314,0.25787340872977,0.25569966919729,0.25135449635101,0.246703108429656,0.243277510756419,0.241188994147525
0.125,0.12087450872286,0.211817478035339,0.244556322639805,0.255709984697253,0.257848702190052,0.255643332171145,0.251353814586439,0.246846414313018,0.241188994147525,NA
0.25,0.162485343136585,0.231945374137351,0.249586306932602,0.257812310757984,0.255643332171145,0.251353814586439,0.246846414313018,0.241188994147525,NA,NA
0.375,0.192882659028059,0.231595178260167,0.25333391231914,0.257898696488211,0.255643332171145,0.246846414313018,0.241188994147525,NA,NA,NA
0.5,0.204211821804195,0.244775971335822,0.257789499047373,0.255689978292145,0.246846414313018,0.241188994147525,NA,NA,NA,NA
0.625,0.212992878512362,0.244520225329564,0.257752504733183,0.251374277431505,0.241188994147525,NA,NA,NA,NA,NA
0.75,0.212992878512362,0.252684998645428,0.25560714558587,0.241188994147525,NA,NA,NA,NA,NA,NA
0.875,0.212992878512362,0.25253677839248,0.241188994147525,NA,NA,NA,NA,NA,NA,NA
1,0.249927440192365,0.241188994147525,NA,NA,NA,NA,NA,NA,NA,NA
1.125,0.24761875887276,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.25,0.233863645851033,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.375,0.23442316397857,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5,0.236585576491282,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.625,0.236585576491282,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.75,0.236585576491282,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.875,0.236585576491282,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.239370664757836,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
